index_id,id,semantic,label,semantic_id
13477,MP:0010838,phenotype,"increased CD8-positive, alpha-beta memory T cell number",8
13478,ENSEMBL:ENSSSCG00000007425,gene,ENSEMBL:ENSSSCG00000007425,4
13479,ENSEMBL:ENSOANG00000045309,gene,ENSEMBL:ENSOANG00000045309,4
13480,MP:0005286,phenotype,decreased saturated fatty acids level,8
13481,WormBase:WBGene00009893,gene,F49E11.7,4
13482,WormBase:WBGene00003807,gene,npr-1,4
13483,ZP:0000539,phenotype,"cardiac muscle cell atrial myocardium decreased mass density, abnormal",8
13484,ENSEMBL:ENSMODG00000008151,gene,ENSEMBL:ENSMODG00000008151,4
13485,ZP:0002074,phenotype,"optic tectum morphology, abnormal",8
13486,ENSEMBL:ENSOANG00000040026,gene,ENSEMBL:ENSOANG00000040026,4
13487,ZFIN:ZDB-GENE-041121-1,gene,grb2a,4
13488,WormBase:WBGene00003774,gene,nmr-1,4
13489,FlyBase:FBgn0267849,gene,Syx7,4
13490,HP:0004467,phenotype,Preauricular pit,8
13491,MP:0009385,phenotype,abnormal dermal pigmentation,8
13492,MP:0013278,phenotype,decreased fasting circulating glucose level,8
13493,MGI:1098237,gene,Kif9,4
13494,MP:0002116,phenotype,abnormal craniofacial bone morphology,8
13495,ZFIN:ZDB-GENE-040426-1932,gene,psma4,4
13496,MP:0003996,phenotype,clonic seizures,8
13497,ZP:0011941,phenotype,"hypothalamus has extra parts of type posterior side dopaminergic neuron, abnormal",8
13498,ENSEMBL:ENSECAG00000006980,gene,ENSEMBL:ENSECAG00000006980,4
13499,ENSEMBL:ENSBTAG00000016874,gene,ENSEMBL:ENSBTAG00000016874,4
13500,ENSEMBL:ENSFCAG00000004901,gene,ENSEMBL:ENSFCAG00000004901,4
13501,ENSEMBL:ENSPTRG00000004718,gene,ENSEMBL:ENSPTRG00000004718,4
13502,WBPhenotype:0000239,phenotype,vulval cell lineage variant,8
13503,ENSEMBL:ENSOANG00000042299,gene,ENSEMBL:ENSOANG00000042299,4
13504,FlyBase:FBgn0262112,gene,sro,4
13505,HP:0002850,phenotype,Decreased circulating total IgM,8
13506,ENSEMBL:ENSBTAG00000009516,gene,ENSEMBL:ENSBTAG00000009516,4
13507,ENSEMBL:ENSFCAG00000030845,gene,ENSEMBL:ENSFCAG00000030845,4
13508,HP:0000632,phenotype,Lacrimation abnormality,8
13509,ENSEMBL:ENSPTRG00000019057,gene,ENSEMBL:ENSPTRG00000019057,4
13510,ENSEMBL:ENSMODG00000010124,gene,ENSEMBL:ENSMODG00000010124,4
13511,MONARCH:APO_0000198APO_0000004,phenotype,mutation frequency:increased,8
13512,EFO:0007978,phenotype,red blood cell density measurement,8
13513,ENSEMBL:ENSOANG00000013483,gene,ENSEMBL:ENSOANG00000013483,4
13514,HP:0011616,phenotype,Pulmonary situs inversus,8
13515,ENSEMBL:ENSPTRG00000011788,gene,ENSEMBL:ENSPTRG00000011788,4
13516,HP:0001897,phenotype,Normocytic anemia,8
13517,ENSEMBL:ENSPTRG00000048329,gene,ENSEMBL:ENSPTRG00000048329,4
13518,WBPhenotype:0001886,phenotype,cleavage furrow termination defective early emb,8
13519,ENSEMBL:ENSCAFG00000005827,gene,ENSEMBL:ENSCAFG00000005827,4
13520,ENSEMBL:ENSBTAG00000021843,gene,UBQLN2,4
13521,HP:0010783,phenotype,Erythema,8
13522,Coriell:GM04715,biological artifact,NIGMS-GM04715,0
13523,1423,drug,imatinib,3
13524,MGI:1931052,gene,Aldoart2,4
13525,PomBase:SPAC2F7.10,gene,akr1,4
13526,ENSEMBL:ENSFCAG00000005359,gene,ENSEMBL:ENSFCAG00000005359,4
13527,ENSEMBL:ENSECAG00000003121,gene,ENSEMBL:ENSECAG00000003121,4
13528,EFO:0004627,phenotype,IGF-1 measurement,8
13529,MP:0011200,phenotype,abnormal extraembryonic coelom morphology,8
13530,WormBase:WBGene00010992,gene,R03D7.8,4
13531,ENSEMBL:ENSGALG00000031832,gene,IKBKB,4
13532,ZP:0000536,phenotype,"cranial vasculature broken, abnormal",8
13533,ZP:0000239,phenotype,"whole organism immobile, abnormal",8
13534,ENSEMBL:ENSFCAG00000029716,gene,ENSEMBL:ENSFCAG00000029716,4
13535,ZP:0000756,phenotype,"Z disc cardiac muscle cell shape, abnormal",8
13536,MP:0003222,phenotype,increased cardiomyocyte apoptosis,8
13537,Xenbase:XB-GENE-976485,gene,itch,4
13538,PomBase:SPBC405.04c,gene,ypt7,4
13539,ENSEMBL:ENSOANG00000013551,gene,ENSEMBL:ENSOANG00000013551,4
13540,MP:0001524,phenotype,impaired limb coordination,8
13541,MGI:1913208,gene,Carm1,4
13542,ENSEMBL:ENSFCAG00000008759,gene,ENSEMBL:ENSFCAG00000008759,4
13543,ZP:0005778,phenotype,"cell junction EVL immature, abnormal",8
13544,WBPhenotype:0001330,phenotype,egg laying event infrequent,8
13545,ZFIN:ZDB-GENE-080515-6,gene,hypk,4
13546,HP:0000939,phenotype,Osteoporosis,8
13547,ENSEMBL:ENSBTAG00000008888,gene,ENSEMBL:ENSBTAG00000008888,4
13548,ENSEMBL:ENSOANG00000042707,gene,ENSEMBL:ENSOANG00000042707,4
13549,WBPhenotype:0000925,phenotype,sex muscle morphology variant,8
13550,ENSEMBL:ENSGALG00000030280,gene,PABPC1,4
13551,ZFIN:ZDB-GENE-040426-983,gene,atxn3,4
13552,MP:0004706,phenotype,short vertebral body,8
13553,ENSEMBL:ENSGALG00000003916,gene,ENSEMBL:ENSGALG00000003916,4
13554,MP:0008268,phenotype,absent hippocampus CA3 region,8
13555,MP:0008702,phenotype,increased interleukin-5 secretion,8
13556,EFO:0004565,phenotype,serum IgG measurement,8
13557,ENSEMBL:ENSOANG00000002507,gene,ENSEMBL:ENSOANG00000002507,4
13558,dictyBase:DDB_G0269222,gene,gefB,4
13559,ZP:0019097,phenotype,"female organism increased amount, abnormal",8
13560,MP:0003701,phenotype,elevated level of mitotic sister chromatid exchange,8
13561,ENSEMBL:ENSPTRG00000015078,gene,ENSEMBL:ENSPTRG00000015078,4
13562,ZP:0000126,phenotype,"Meckel's cartilage malformed, abnormal",8
13563,ENSEMBL:ENSOANG00000049226,gene,ENSEMBL:ENSOANG00000049226,4
13564,MP:0005326,phenotype,abnormal podocyte morphology,8
13565,ZP:0106016,phenotype,"myelinating Schwann cell peripheral nervous system decreased amount, abnormal",8
13566,ENSEMBL:ENSACAG00000008195,gene,ENSEMBL:ENSACAG00000008195,4
13567,Xenbase:XB-GENE-1003225,gene,wdr82,4
13568,PomBase:SPBC30D10.10c,gene,tor1,4
13569,ENSEMBL:ENSACAG00000017921,gene,ENSEMBL:ENSACAG00000017921,4
13570,ENSEMBL:ENSCAFG00000006455,gene,ENSEMBL:ENSCAFG00000006455,4
13571,MGI:98372,gene,Sp1,4
13572,ZP:0103715,phenotype,"brain decreased process quality cell population proliferation, abnormal",8
13573,ENSEMBL:ENSECAG00000022197,gene,ENSEMBL:ENSECAG00000022197,4
13574,ZFIN:ZDB-GENE-031113-1,gene,aclya,4
13575,MGI:1860511,gene,Heyl,4
13576,MP:0003732,phenotype,abnormal retinal outer plexiform layer morphology,8
13577,dictyBase:DDB_G0289187,gene,H2Av1,4
13578,ENSEMBL:ENSGALG00000012542,gene,ENSEMBL:ENSGALG00000012542,4
13579,ENSEMBL:ENSGALG00000008677,gene,ENSEMBL:ENSGALG00000008677,4
13580,MP:0031023,phenotype,decreased susceptibility to Riboviria infection induced morbidity/mortality,8
13581,ENSEMBL:ENSGALG00000053517,gene,ENSEMBL:ENSGALG00000053517,4
13582,ENSEMBL:ENSBTAG00000014494,gene,ENSEMBL:ENSBTAG00000014494,4
13583,MP:0013842,phenotype,ductus venosus stenosis,8
13584,WormBase:WBGene00006770,gene,unc-34,4
13585,ZP:0137233,phenotype,"filopodium CaP motoneuron decreased length, abnormal",8
13586,ZFIN:ZDB-GENE-051202-1,gene,grin1a,4
13587,ZP:0014483,phenotype,"innate immune response process quality, abnormal",8
13588,1821,drug,mitoxantrone,3
13589,ZFIN:ZDB-GENE-010501-5,gene,bag6,4
13590,ENSEMBL:ENSBTAG00000005503,gene,PRMT2,4
13591,HP:0001291,phenotype,Abnormal cranial nerve morphology,8
13592,ZP:0001934,phenotype,"hatching arrested, abnormal",8
13593,ENSEMBL:ENSACAG00000009074,gene,ENSEMBL:ENSACAG00000009074,4
13594,ENSEMBL:ENSSSCG00000005935,gene,AGO2,4
13595,RGD:2407,gene,Crmp1,4
13596,ENSEMBL:ENSACAG00000001098,gene,ENSEMBL:ENSACAG00000001098,4
13597,ZP:0001772,phenotype,"retina quality, abnormal",8
13598,WBPhenotype:0000402,phenotype,avoids bacterial lawn,8
13599,ZP:0009836,phenotype,"secondary motor neuron decreased process quality axon extension, abnormal",8
13600,MP:0000709,phenotype,enlarged thymus,8
13601,HP:0020054,phenotype,Abnormal erythrocyte physiology,8
13602,EnsemblGenome:AT2G23010,gene,EnsemblGenome:AT2G23010,4
13603,ZP:0012014,phenotype,"skeletal muscle myofibril skeletal muscle cell disorganized, abnormal",8
13604,HP:0200043,phenotype,Verrucae,8
13605,ZP:0000958,phenotype,"heart mislocalised, abnormal",8
13606,ENSEMBL:ENSBTAG00000050778,gene,ENSEMBL:ENSBTAG00000050778,4
13607,MP:0002700,phenotype,opacity of vitreous body,8
13608,ENSEMBL:ENSRNOG00000055911,gene,LOC100361259,4
13609,ENSEMBL:ENSECAG00000016587,gene,ENSEMBL:ENSECAG00000016587,4
13610,ENSEMBL:ENSOANG00000000714,gene,ENSEMBL:ENSOANG00000000714,4
13611,MP:0003638,phenotype,abnormal response/metabolism to endogenous compounds,8
13612,ENSEMBL:ENSGALG00000021198,gene,LOC101751348,4
13613,MP:0008209,phenotype,decreased pre-B cell number,8
13614,ENSEMBL:ENSPTRG00000003510,gene,ENSEMBL:ENSPTRG00000003510,4
13615,HGNC:3236,gene,EGFR,4
13616,WBPhenotype:0000504,phenotype,nuclear division variant,8
13617,WormBase:WBGene00004933,gene,sod-4,4
13618,WBPhenotype:0000779,phenotype,late embryonic arrest,8
13619,ENSEMBL:ENSPTRG00000007300,gene,ENSEMBL:ENSPTRG00000007300,4
13620,RGD:1310488,gene,Syvn1,4
13621,WormBase:WBGene00004306,gene,ran-5,4
13622,WBPhenotype:0000834,phenotype,E lineage variant,8
13623,WBPhenotype:0000116,phenotype,mid larval lethal,8
13624,ENSEMBL:ENSGALG00000041625,gene,ENSEMBL:ENSGALG00000041625,4
13625,ENSEMBL:ENSBTAG00000016265,gene,ENSEMBL:ENSBTAG00000016265,4
13626,HP:0007973,phenotype,Retinal dysplasia,8
13627,HP:0002900,phenotype,Hypokalemia,8
13628,HP:0001807,phenotype,Ridged nail,8
13629,ZP:0021359,phenotype,"whole organism decreased occurrence cholesterol biosynthetic process, abnormal",8
13630,ENSEMBL:ENSBTAG00000003304,gene,ENSEMBL:ENSBTAG00000003304,4
