Drug,Symptom ID,Symptom
aprindine,HP:0003115,Abnormal EKG
aprindine,HP:0001638,Cardiomyopathy
levosimendan,HP:0003701,Proximal muscle weakness
mezlocillin,HP:0001270,Motor delay
