2023-02-20 23:52:58,083 ERROR    Response values could not get acquired at node MP:0005389 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-20 23:56:02,663 ERROR    Response values could not get acquired at node HP:0000708 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 00:08:06,123 ERROR    Response values could not get acquired at node HP:0011017 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 00:25:44,131 ERROR    Response values could not get acquired at node MP:0002089 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 01:56:18,302 ERROR    Response values could not get acquired at node MP:0001731 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 02:14:12,230 ERROR    Response values could not get acquired at node MP:0005390 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 02:35:43,560 ERROR    Response values could not get acquired at node HP:0000924 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 02:46:29,806 ERROR    Response values could not get acquired at node MP:0002166 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 02:55:47,599 ERROR    Response values could not get acquired at node MP:0005384 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 03:22:03,381 ERROR    Response values could not get acquired at node MP:0003631 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 03:26:17,897 ERROR    Response values could not get acquired at node ZP:0000206 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 04:03:29,677 ERROR    Response values could not get acquired at node HP:0011804 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
